episode,rewards_total
196,-15.5178729798
197,-37.2679835833
198,-42.5690584971
199,-11.8050491456
200,249.582465071
201,-38.946002467
202,-38.9491879908
203,-38.9255489349
204,-38.916177975
205,-38.9558954883
206,-38.9291227453
207,-38.9228221183
208,-38.9247990662
209,-38.9423937392
210,-38.9173207034
211,-38.9591529823
212,-38.9238190995
213,-38.9591103403
214,-38.9520352869
215,-38.9388926776
216,-38.9079087334
217,-38.9396741596
218,-38.9400322687
219,-38.9303091893
220,-38.9464978949
221,-38.9488056837
222,-38.932274559
223,-38.9568881237
224,-38.9277232191
225,-38.9400285348
226,-38.9302674219
227,-38.9178306429
228,-38.9466535077
229,-38.9283547942
230,-38.9266446285
231,-38.9424415979
232,-38.9339516268
233,-38.9280439949
234,-38.9477375407
235,-38.9467522015
236,-38.9284267216
237,-38.9425836782
238,-38.9146921762
239,-38.9281081345
240,-38.927394985
241,-38.8864122191
242,-38.9474337631
243,-38.940716936
244,-38.9370351896
245,-38.9032129626
246,-38.9412757356
247,-38.9240552153
248,-38.9376580798
249,-38.9399110017
250,-38.9568173615
251,-38.9360828499
252,-38.9263207602
253,-38.9535644023
254,-38.935165737
255,-38.9134418455
256,-38.9140513691
257,-38.9368578656
258,-38.93537655
259,-38.9317617406
260,-38.9291961051
261,-38.919680248
262,-38.9318270318
263,-38.9181035874
264,-38.9082930291
265,-38.9342536274
266,-38.940453362
267,-38.9469959121
268,-31.9133257118
269,252.0
270,-23.4880766333
271,66.0329192189
272,-26.2168019393
273,252.0
274,252.0
275,252.0
276,252.0
277,123.856837713
278,252.0
279,252.0
280,252.0
281,252.0
282,252.0
283,252.0
284,252.0
285,252.0
286,252.0
287,252.0
288,252.0
289,252.0
290,252.0
291,252.0
292,252.0
293,252.0
294,252.0
295,252.0
296,252.0
297,252.0
298,252.0
299,252.0
300,252.0
301,252.0
302,252.0
303,252.0
304,252.0
305,252.0
306,252.0
307,252.0
308,252.0
309,252.0
310,252.0
311,252.0
312,252.0
313,252.0
314,252.0
315,252.0
316,252.0
317,252.0
318,252.0
319,252.0
320,252.0
321,252.0
322,252.0
323,252.0
324,252.0
325,252.0
326,252.0
327,252.0
328,252.0
329,252.0
330,252.0
331,252.0
332,252.0
333,252.0
334,252.0
335,252.0
336,229.0
337,252.0
338,252.0
339,252.0
340,252.0
341,252.0
342,252.0
343,252.0
344,252.0
345,252.0
346,252.0
347,252.0
348,252.0
349,252.0
350,252.0
351,252.0
352,252.0
353,252.0
354,252.0
355,252.0
356,252.0
357,252.0
358,252.0
359,252.0
360,252.0
361,252.0
362,252.0
363,252.0
364,252.0
365,252.0
366,252.0
367,252.0
368,252.0
369,252.0
370,252.0
371,252.0
372,252.0
373,252.0
374,252.0
375,252.0
376,252.0
377,252.0
378,252.0
379,252.0
380,252.0
381,252.0
382,252.0
383,252.0
384,252.0
385,252.0
386,252.0
387,252.0
388,252.0
389,252.0
390,252.0
391,252.0
392,252.0
393,252.0
394,252.0
395,252.0
396,252.0
397,252.0
398,252.0
399,252.0
400,252.0
401,252.0
402,252.0
403,252.0
404,252.0
405,252.0
406,252.0
407,252.0
408,252.0
409,252.0
410,252.0
411,252.0
412,252.0
413,252.0
414,252.0
415,252.0
416,252.0
417,252.0
418,252.0
419,252.0
420,252.0
421,252.0
422,252.0
423,252.0
424,252.0
425,252.0
426,252.0
427,252.0
428,252.0
429,252.0
430,252.0
431,252.0
432,252.0
433,252.0
434,252.0
435,252.0
436,252.0
437,252.0
438,252.0
439,252.0
440,252.0
441,241.0
442,252.0
443,252.0
444,252.0
445,252.0
446,252.0
447,252.0
448,252.0
449,252.0
450,252.0
451,252.0
452,252.0
453,252.0
454,252.0
455,252.0
456,252.0
457,252.0
458,252.0
459,252.0
460,252.0
461,252.0
462,252.0
463,238.0
464,252.0
465,252.0
466,252.0
467,252.0
468,252.0
469,252.0
470,252.0
471,252.0
472,252.0
473,252.0
474,252.0
475,238.0
476,252.0
477,252.0
478,252.0
479,252.0
480,252.0
481,252.0
482,252.0
483,252.0
484,252.0
485,247.0
486,252.0
487,252.0
488,252.0
489,252.0
490,252.0
491,252.0
492,252.0
493,252.0
494,252.0
495,252.0
496,252.0
497,252.0
498,252.0
499,252.0
500,252.0
501,252.0
502,252.0
503,252.0
504,252.0
505,252.0
506,252.0
507,252.0
508,252.0
509,252.0
510,252.0
511,252.0
512,252.0
513,252.0
514,252.0
515,252.0
516,252.0
517,252.0
518,241.0
519,252.0
520,252.0
521,252.0
522,252.0
523,252.0
524,252.0
525,252.0
526,252.0
527,252.0
528,252.0
529,252.0
530,252.0
531,252.0
532,250.0
533,252.0
534,252.0
535,252.0
536,252.0
537,252.0
538,252.0
539,252.0
540,252.0
541,252.0
542,252.0
543,252.0
544,252.0
545,252.0
546,252.0
547,252.0
548,252.0
549,252.0
550,252.0
551,252.0
552,252.0
553,252.0
554,252.0
555,252.0
556,252.0
557,252.0
558,252.0
559,252.0
560,252.0
561,252.0
562,252.0
563,252.0
564,252.0
565,252.0
566,252.0
567,252.0
568,252.0
569,252.0
570,252.0
571,252.0
572,252.0
573,252.0
574,232.0
575,252.0
576,252.0
577,252.0
578,252.0
579,252.0
580,252.0
581,252.0
582,252.0
583,252.0
584,252.0
585,252.0
586,252.0
587,252.0
588,252.0
589,252.0
590,252.0
591,252.0
592,252.0
593,252.0
594,252.0
595,252.0
596,252.0
597,232.0
598,252.0
599,252.0
600,252.0
601,252.0
602,252.0
603,252.0
604,252.0
605,252.0
606,252.0
607,238.0
608,252.0
609,252.0
610,252.0
611,252.0
612,252.0
613,252.0
614,252.0
615,252.0
616,252.0
617,252.0
618,252.0
619,252.0
620,252.0
621,252.0
622,252.0
623,238.0
624,252.0
625,252.0
626,252.0
627,252.0
628,252.0
629,252.0
630,252.0
631,252.0
632,252.0
633,252.0
634,252.0
635,252.0
636,252.0
637,252.0
638,252.0
639,252.0
640,252.0
641,252.0
642,252.0
643,252.0
644,252.0
645,252.0
646,252.0
647,252.0
648,252.0
649,252.0
650,252.0
651,252.0
652,252.0
653,241.0
654,252.0
655,252.0
656,252.0
657,252.0
658,252.0
659,252.0
660,252.0
661,252.0
662,252.0
663,252.0
664,252.0
665,252.0
666,252.0
667,252.0
668,252.0
669,252.0
670,252.0
671,252.0
672,252.0
673,252.0
674,252.0
675,252.0
676,252.0
677,252.0
678,252.0
679,252.0
680,229.0
681,252.0
682,252.0
683,252.0
684,252.0
685,252.0
686,252.0
687,252.0
688,252.0
689,252.0
690,252.0
691,252.0
692,252.0
693,252.0
694,252.0
695,252.0
696,252.0
697,252.0
698,252.0
699,252.0
700,252.0
701,252.0
702,252.0
703,252.0
704,252.0
705,252.0
706,252.0
707,252.0
708,252.0
709,252.0
710,252.0
711,252.0
712,252.0
713,252.0
714,252.0
715,252.0
716,252.0
717,252.0
718,252.0
719,252.0
720,252.0
721,252.0
722,252.0
723,252.0
724,252.0
725,252.0
726,252.0
727,252.0
728,252.0
729,252.0
730,252.0
731,252.0
732,252.0
733,252.0
734,252.0
735,252.0
736,252.0
737,252.0
738,252.0
739,252.0
740,252.0
741,252.0
742,252.0
743,252.0
744,252.0
745,252.0
746,252.0
747,252.0
748,238.0
749,252.0
750,252.0
751,252.0
752,252.0
753,252.0
754,252.0
755,252.0
756,241.0
757,252.0
758,252.0
759,252.0
760,252.0
761,252.0
762,252.0
763,252.0
764,252.0
765,252.0
766,252.0
767,252.0
768,252.0
769,252.0
770,205.0
771,252.0
772,252.0
773,252.0
774,252.0
775,252.0
776,252.0
777,252.0
778,252.0
779,252.0
780,252.0
781,252.0
782,252.0
783,252.0
784,252.0
785,252.0
786,252.0
787,252.0
788,252.0
789,252.0
790,252.0
791,252.0
792,252.0
793,252.0
794,252.0
795,252.0
796,252.0
797,252.0
798,252.0
799,252.0
800,252.0
801,252.0
802,252.0
803,252.0
804,252.0
805,252.0
806,252.0
807,252.0
808,252.0
809,252.0
810,252.0
811,252.0
812,252.0
813,252.0
814,252.0
815,252.0
816,252.0
817,252.0
818,252.0
819,252.0
820,252.0
821,252.0
822,252.0
823,252.0
824,252.0
825,252.0
826,252.0
827,252.0
828,252.0
829,252.0
830,252.0
831,252.0
832,252.0
833,252.0
834,252.0
835,252.0
836,252.0
837,252.0
838,247.0
839,226.0
840,252.0
841,252.0
842,252.0
843,252.0
844,252.0
845,252.0
846,252.0
847,252.0
848,252.0
849,252.0
850,252.0
851,252.0
852,252.0
853,252.0
854,252.0
855,252.0
856,252.0
857,252.0
858,252.0
859,252.0
860,252.0
861,208.0
862,252.0
863,252.0
864,252.0
865,252.0
866,252.0
867,252.0
868,252.0
869,252.0
870,252.0
871,252.0
872,252.0
873,252.0
874,252.0
875,252.0
876,252.0
877,252.0
878,238.0
879,252.0
880,252.0
881,252.0
882,252.0
883,252.0
884,252.0
885,252.0
886,252.0
887,252.0
888,252.0
889,252.0
890,252.0
891,252.0
892,252.0
893,252.0
894,252.0
895,252.0
896,252.0
897,252.0
898,252.0
899,252.0
900,252.0
901,252.0
902,252.0
903,252.0
904,252.0
905,252.0
906,252.0
907,252.0
908,252.0
909,252.0
910,252.0
911,252.0
912,252.0
913,252.0
914,252.0
915,252.0
916,252.0
917,252.0
918,252.0
919,252.0
920,252.0
921,252.0
922,252.0
923,252.0
924,252.0
925,252.0
926,229.0
927,252.0
928,252.0
929,252.0
930,252.0
931,252.0
932,252.0
933,252.0
934,252.0
935,252.0
936,252.0
937,252.0
938,252.0
939,252.0
940,252.0
941,252.0
942,241.0
943,226.0
944,252.0
945,252.0
946,252.0
947,252.0
948,252.0
949,252.0
950,238.0
951,252.0
952,252.0
953,252.0
954,252.0
955,252.0
956,252.0
957,252.0
958,252.0
959,252.0
960,252.0
961,252.0
962,252.0
963,252.0
964,252.0
965,252.0
966,252.0
967,252.0
968,252.0
969,252.0
970,252.0
971,252.0
972,252.0
973,250.0
974,252.0
975,252.0
976,252.0
977,252.0
978,252.0
979,252.0
980,205.0
981,252.0
982,250.0
983,252.0
984,252.0
985,252.0
986,252.0
987,252.0
988,252.0
989,252.0
990,252.0
991,252.0
992,252.0
993,252.0
994,252.0
995,252.0
996,252.0
997,244.0
998,252.0
999,252.0
1000,252.0
